Generacion,Mejor individuo,Mejor Fitness
259,[0.01289923 0.12395552 0.39984969 0.20747831 0.21940663 0.04079142],-0.6694753429304575
260,[0.01289923 0.12395552 0.39984969 0.20747831 0.21940663 0.04079142],-0.6694753429304575
261,[0.01289923 0.12395552 0.39984969 0.20747831 0.21940663 0.04079142],-0.6694753429304575
262,[0.01289923 0.12395552 0.39984969 0.20747831 0.21940663 0.04079142],-0.6694753429304575
263,[0.01289923 0.12395552 0.39984969 0.20747831 0.21940663 0.04079142],-0.6694753429304575
264,[0.01289923 0.12395552 0.39984969 0.20747831 0.21940663 0.04079142],-0.6694753429304575
265,[0.01289923 0.12395552 0.39984969 0.20747831 0.21940663 0.04079142],-0.6694753429304575
266,[0.01289923 0.12395552 0.39984969 0.20747831 0.21940663 0.04079142],-0.6694753429304575
267,[0.01289923 0.12395552 0.39984969 0.20747831 0.21940663 0.04079142],-0.6694753429304575
268,[0.01289923 0.12395552 0.39984969 0.20747831 0.21940663 0.04079142],-0.6694753429304575
269,[0.01289923 0.12395552 0.39984969 0.20747831 0.21940663 0.04079142],-0.6694753429304575
270,[0.01289923 0.12395552 0.39984969 0.20747831 0.21940663 0.04079142],-0.6694753429304575
271,[0.01289923 0.12395552 0.39984969 0.20747831 0.21940663 0.04079142],-0.6694753429304575
272,[0.01289923 0.12395552 0.39984969 0.20747831 0.21940663 0.04079142],-0.6694753429304575
273,[0.01289923 0.12395552 0.39984969 0.20747831 0.21940663 0.04079142],-0.6694753429304575
274,[0.01289923 0.12395552 0.39984969 0.20747831 0.21940663 0.04079142],-0.6694753429304575
275,[0.01289923 0.12395552 0.39984969 0.20747831 0.21940663 0.04079142],-0.6694753429304575
276,[0.01289923 0.12395552 0.39984969 0.20747831 0.21940663 0.04079142],-0.6694753429304575
277,[0.01289923 0.12395552 0.39984969 0.20747831 0.21940663 0.04079142],-0.6694753429304575
278,[0.01289923 0.12395552 0.39984969 0.20747831 0.21940663 0.04079142],-0.6694753429304575
279,[0.01289923 0.12395552 0.39984969 0.20747831 0.21940663 0.04079142],-0.6694753429304575
280,[0.01289923 0.12395552 0.39984969 0.20747831 0.21940663 0.04079142],-0.6694753429304575
281,[0.01289923 0.12395552 0.39984969 0.20747831 0.21940663 0.04079142],-0.6694753429304575
282,[0.01289923 0.12395552 0.39984969 0.20747831 0.21940663 0.04079142],-0.6694753429304575
283,[0.01289923 0.12395552 0.39984969 0.20747831 0.21940663 0.04079142],-0.6694753429304575
